iter	Passed	Remaining
769	10744	3209
770	10757	3195
771	10772	3181
772	10786	3167
773	10797	3152
774	10810	3138
775	10821	3123
776	10834	3109
777	10847	3095
778	10859	3080
779	10871	3066
780	10884	3052
781	10896	3037
782	10908	3023
783	10920	3008
784	10933	2994
785	10945	2980
786	10957	2965
787	10969	2951
788	10983	2937
789	10996	2923
790	11008	2908
791	11019	2894
792	11035	2880
793	11051	2867
794	11073	2855
795	11093	2843
796	11109	2829
797	11127	2816
798	11145	2803
799	11159	2789
800	11179	2777
801	11198	2764
802	11211	2750
803	11226	2736
804	11241	2723
805	11255	2709
806	11268	2694
807	11280	2680
808	11294	2666
809	11306	2652
810	11319	2637
811	11331	2623
812	11343	2609
813	11356	2594
814	11368	2580
815	11380	2566
816	11393	2551
817	11406	2537
818	11418	2523
819	11430	2509
820	11442	2494
821	11454	2480
822	11466	2466
823	11478	2451
824	11489	2437
825	11502	2422
826	11515	2408
827	11527	2394
828	11539	2380
829	11551	2365
830	11563	2351
831	11575	2337
832	11587	2323
833	11599	2308
834	11613	2294
835	11625	2280
836	11637	2266
837	11649	2252
838	11661	2237
839	11674	2223
840	11686	2209
841	11699	2195
842	11712	2181
843	11724	2167
844	11736	2152
845	11750	2138
846	11762	2124
847	11775	2110
848	11788	2096
849	11799	2082
850	11812	2068
851	11827	2054
852	11840	2040
853	11852	2026
854	11865	2012
855	11877	1998
856	11892	1984
857	11904	1970
858	11916	1956
859	11929	1942
860	11942	1927
861	11957	1914
862	11969	1900
863	11981	1885
864	11993	1871
865	12009	1858
866	12024	1844
867	12038	1830
868	12050	1816
869	12063	1802
870	12080	1789
871	12095	1775
872	12110	1761
873	12127	1748
874	12142	1734
875	12160	1721
876	12173	1707
877	12186	1693
878	12198	1679
879	12210	1665
880	12223	1651
881	12238	1637
882	12254	1623
883	12267	1609
884	12279	1595
885	12291	1581
886	12304	1567
887	12317	1553
888	12329	1539
889	12342	1525
890	12355	1511
891	12367	1497
892	12380	1483
893	12392	1469
894	12405	1455
895	12417	1441
896	12430	1427
897	12442	1413
898	12454	1399
899	12468	1385
900	12481	1371
901	12494	1357
902	12508	1343
903	12520	1329
904	12533	1315
905	12546	1301
906	12558	1287
907	12570	1273
908	12583	1259
909	12596	1245
910	12609	1231
911	12622	1217
912	12635	1204
913	12648	1190
914	12660	1176
915	12674	1162
916	12687	1148
917	12699	1134
918	12712	1120
919	12725	1106
920	12738	1092
921	12751	1078
922	12763	1064
923	12776	1050
924	12789	1036
925	12802	1023
926	12814	1009
927	12827	995
928	12840	981
929	12853	967
930	12864	953
931	12878	939
932	12894	925
933	12910	912
934	12922	898
935	12935	884
936	12947	870
937	12959	856
938	12972	842
939	12985	828
940	12999	815
941	13011	801
942	13023	787
943	13036	773
944	13048	759
945	13060	745
946	13073	731
947	13090	718
948	13107	704
949	13123	690
950	13142	677
951	13155	663
952	13167	649
953	13181	635
954	13194	621
955	13207	607
956	13219	593
957	13234	580
958	13248	566
959	13260	552
960	13272	538
961	13286	524
962	13300	511
963	13312	497
964	13324	483
965	13337	469
966	13350	455
967	13363	441
968	13376	427
